target,datetime,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type,id
4300000,2018-09-11,19:47:20,55.08318,38.7976,Московская область,3,3,10,2,58.0,11.0,1,24959
19700000,2018-09-11,16:49:07,55.774745,37.548609,Москва,2,18,37,3,86.2,10.1,1,24382
3400000,2018-09-11,17:12:45,55.43278,37.534863,Московская область,1,8,9,1,33.0,8.0,1,24549
9500000,2018-09-11,19:55:59,55.857574,37.502777,Москва,1,5,14,2,52.0,9.7,1,24990
2500000,2018-09-11,22:47:09,55.0997306,37.5507732,Московская область,1,3,5,2,53.0,9.0,1,25518
2300000,2018-09-11,09:20:00,54.8859531,38.0858833,Московская область,3,4,9,1,31.0,7.0,1,20632
3900000,2018-09-11,17:01:11,55.6638772,37.8650956,Московская область,3,2,5,2,45.0,6.0,1,24469
1900000,2018-09-11,17:30:53,56.32864,36.71652,Московская область,3,2,5,1,32.0,6.5,1,24636
4520000,2018-09-11,07:51:36,55.7712692,37.2537202,Московская область,2,3,7,2,65.0,12.0,1,19980
2799999,2018-09-11,20:40:45,55.3838282,39.0257342,Московская область,3,2,10,2,60.0,9.0,1,25148
19348800,2018-09-11,11:55:55,55.743978,37.400881,Москва,2,14,28,4,116.0,20.7,11,22068
6950000,2018-09-11,10:53:16,55.8313778,37.2923749,Московская область,2,10,17,2,70.0,15.0,1,21486
6000000,2018-09-11,09:50:23,55.874789,37.535215,Москва,1,2,17,1,38.0,7.2,1,20954
4750000,2018-09-11,11:33:02,55.4511416,37.5463349,Московская область,2,14,24,2,67.0,11.4,1,21814
6900000,2018-09-11,14:04:57,55.7846975,37.4570502,Москва,1,4,12,1,36.0,10.0,1,23139
4200000,2018-09-12,12:24:41,55.8369179,37.2665489,Московская область,2,18,24,1,38.5,11.0,1,28777
3700000,2018-09-12,15:17:30,54.8727318,38.1367536,Московская область,3,5,10,1,51.0,20.0,1,29906
3050000,2018-09-12,10:50:26,55.9149634,37.8731325,Московская область,2,5,5,-1,34.0,10.0,1,28084
1820000,2018-09-12,17:24:27,55.8436865,38.4467035,Московская область,2,9,17,1,41.0,10.0,1,30963
6560000,2018-09-12,15:17:03,55.8938479,37.6098727,Москва,1,11,12,1,52.0,9.0,1,29900
1580000,2018-09-12,14:27:23,55.8012598,38.4335759,Московская область,1,4,5,1,31.0,6.0,1,29485
9250000,2018-09-12,19:36:08,55.918782,37.748277,Московская область,2,9,15,3,84.2,15.4,1,31497
5400000,2018-09-12,11:32:53,55.9143224,37.799127,Московская область,2,10,25,2,63.0,10.5,1,28412
3699000,2018-09-12,21:38:06,55.9253407,38.0084441,Московская область,2,12,12,1,45.0,13.8,1,31936
9500000,2018-09-12,15:05:52,55.6791487,37.7006965,Москва,1,4,12,2,50.5,8.5,1,29775
2500000,2018-09-12,07:38:53,55.9647181,37.8604231,Московская область,3,2,5,1,44.4,14.0,1,26820
6800000,2018-09-12,08:27:35,55.75396,37.620393,Москва,3,3,9,2,44.0,6.0,1,27116
5376984,2018-09-12,15:15:12,55.7042711,37.9420436,Москва,1,7,17,2,51.7,9.8,11,29876
3150000,2018-09-12,13:54:37,55.9233801,37.9783707,Московская область,2,12,17,2,68.0,13.5,1,29246
1700000,2018-09-12,14:36:11,55.8106182,38.9977432,Московская область,3,4,9,1,35.8,7.0,1,29537
2300000,2018-09-12,15:05:40,55.910634,38.050704,Московская область,2,5,17,1,41.0,12.0,1,29773
1590000,2018-09-12,15:13:28,55.379968,39.057819,Московская область,1,1,9,1,34.0,8.0,1,29857
9191720,2018-09-12,16:04:07,55.743507,37.407744,Москва,2,9,26,1,41.2,19.9,11,30310
4500000,2018-09-13,17:13:05,56.342724,37.5477092,Московская область,2,4,17,2,60.0,10.0,1,39218
4900000,2018-09-13,22:48:58,55.7015866,37.3241608,Московская область,1,19,20,1,38.0,9.0,1,40330
10870000,2018-09-13,20:17:21,55.557983,37.557316,Москва,3,13,23,2,76.6,23.2,1,39964
3900000,2018-09-13,19:00:04,55.9500844,37.8683618,Московская область,3,1,9,2,52.2,10.8,1,39739
4750000,2018-09-13,18:22:24,55.888657,37.4303702,Московская область,1,5,10,2,51.3,7.5,1,39545
3800000,2018-09-13,14:17:32,55.944203,37.295329,Московская область,1,4,5,2,43.0,7.0,1,37753
3300000,2018-09-13,20:11:13,55.8027468,38.4362044,Московская область,1,10,10,2,53.0,8.0,1,39948
13800000,2018-09-13,15:27:50,55.801693,37.79631,Москва,3,6,9,3,88.1,8.5,1,38469
2290000,2018-09-13,08:54:41,56.0277454,35.9460742,Московская область,1,3,5,1,37.4,9.3,1,35600
7200000,2018-09-13,17:11:46,55.8073421,37.827301,Москва,1,6,9,2,49.0,7.0,1,39206
2686400,2018-09-13,16:02:15,55.9215963,37.7612474,Московская область,2,19,22,-1,28.6,5.0,11,38772
5200000,2018-09-13,06:54:17,55.97048,37.934074,Московская область,2,3,17,2,65.0,10.0,11,35055
5987500,2018-09-13,09:13:48,55.67238,37.855156,Московская область,2,4,33,2,62.5,22.3,11,35781
5450000,2018-09-14,10:20:32,55.611073,37.590622,Москва,1,3,9,1,32.9,7.0,1,43601
1550000,2018-09-14,20:22:33,55.7410707,39.0129698,Московская область,3,3,4,1,40.0,15.0,11,48041
3647000,2018-09-14,18:48:20,55.746639,37.962202,Московская область,1,11,17,1,37.2,9.3,1,47791
1170000,2018-09-14,20:36:16,55.214953,37.9337434,Московская область,3,1,2,1,31.0,5.5,1,48074
6780280,2018-09-14,09:10:16,55.8760589,37.3882166,Московская область,1,6,25,2,67.6,22.5,11,43071
6990000,2018-09-14,03:21:13,55.773429,37.218334,Московская область,2,4,9,2,64.0,14.0,1,41709
3600000,2018-09-14,23:16:21,55.4485009,37.7355424,Московская область,3,14,16,1,38.0,9.0,1,48317
2790000,2018-09-14,18:36:02,55.79965,38.43435,Московская область,3,2,5,2,43.0,6.0,1,47707
4000000,2018-09-14,18:27:28,55.4018317,37.5599436,Московская область,3,2,5,3,52.0,6.0,1,47653
4952580,2018-09-14,15:52:01,55.668214,37.739177,Москва,1,8,25,1,39.4,18.1,11,46589
4800641,2018-09-14,14:36:33,55.7264829,37.3573652,Московская область,1,6,17,1,39.6,10.1,11,45591
2300000,2018-09-14,18:10:44,55.3239479,38.6550951,Московская область,1,5,5,3,58.0,6.0,1,47566
6500000,2018-09-14,14:36:25,55.8670961,37.6731983,Москва,3,2,5,2,43.0,6.0,1,45587
5590620,2018-09-14,18:44:49,55.69901,37.958411,Московская область,3,17,17,2,58.0,16.2,1,47752
3900000,2018-09-14,18:47:29,55.4763182,37.5673441,Московская область,3,8,9,2,44.0,7.0,1,47776
1720000,2018-09-14,09:28:49,55.275913,38.755217,Московская область,1,6,9,1,34.0,9.0,1,43213
6100000,2018-09-14,17:42:01,55.9049717,36.8582591,Московская область,3,1,9,4,79.0,9.0,1,47424
6475330,2018-09-14,09:03:28,55.7042711,37.9420436,Москва,1,17,17,2,63.5,12.6,11,43024
17500000,2018-09-14,21:51:09,55.683601,37.5302545,Москва,3,2,8,3,76.5,9.0,1,48221
12500000,2018-09-14,21:08:02,55.81672,37.373978,Московская область,1,5,25,3,80.0,32.0,1,48138
6950000,2018-09-14,11:40:43,55.9008806,37.7359903,Московская область,2,3,17,2,63.0,10.0,1,44225
2800000,2018-09-15,17:43:52,56.019148,37.846023,Московская область,3,2,9,1,35.0,7.0,1,52888
6500000,2018-09-15,09:28:39,56.7274767,37.1446165,Московская область,3,5,9,2,62.0,12.0,1,50643
7000000,2018-09-15,14:59:52,55.7507958,37.814843,Москва,1,1,9,3,49.0,6.6,1,52109
12500000,2018-09-15,09:56:06,55.86395,37.5882627,Москва,1,12,16,2,53.4,9.0,1,50737
12000000,2018-09-15,13:44:58,55.899925,37.404537,Московская область,1,19,25,4,105.0,10.5,1,51743
850000,2018-09-15,15:31:10,55.612711,39.577822,Московская область,3,4,4,1,21.0,6.0,1,52330
3350000,2018-09-15,18:56:31,56.30132,38.133198,Московская область,2,1,5,1,40.0,11.0,1,53083
6800000,2018-09-15,10:30:05,55.1453761,37.4867699,Московская область,1,5,5,4,100.0,16.0,1,50900
6255810,2018-09-15,07:51:24,55.7029452,37.8871138,Московская область,1,4,14,3,80.1,17.1,11,50237
3206475,2018-09-15,14:42:41,55.8333072,37.2704175,Московская область,3,2,24,1,38.5,9.7,11,52011
2300000,2018-09-15,12:49:55,55.7294005,38.953711,Московская область,1,3,9,2,44.4,6.0,1,51533
3780000,2018-09-15,15:55:11,55.6520005,38.0565905,Московская область,3,1,5,2,56.0,15.0,1,52437
4450000,2018-09-15,17:58:28,55.7756185,37.8485304,Московская область,3,13,25,1,57.4,15.5,11,52936
3500000,2018-09-15,17:03:15,56.3363463,37.5400552,Московская область,3,2,17,1,52.0,15.0,1,52771
2900000,2018-09-16,23:01:03,56.0701876,38.0222373,Московская область,1,2,4,3,63.2,9.0,1,58713
5171000,2018-09-16,19:39:51,55.8361402,37.2803734,Московская область,2,24,25,2,59.0,14.6,11,58232
2300000,2018-09-16,19:38:41,55.5696001,36.9889324,Московская область,1,3,5,1,32.0,7.0,1,58223
6244000,2018-09-16,19:39:50,55.8350421,37.2814434,Московская область,2,8,25,3,79.0,11.9,11,58231
4500000,2018-09-16,14:45:40,55.5680228,38.229397,Московская область,3,3,4,2,45.0,6.0,1,57161
3565370,2018-09-16,08:20:16,55.9790892,37.9073934,Московская область,2,3,17,2,60.0,12.0,11,55647
10500000,2018-09-16,12:07:32,55.6883996,37.6890125,Москва,1,2,14,2,54.8,11.6,1,56508
5000000,2018-09-16,21:12:13,55.399898,37.768867,Московская область,4,10,14,3,56.5,8.0,1,58447
6255000,2018-09-16,14:36:35,55.696179,37.319844,Московская область,3,9,23,2,66.3,13.0,11,57116
4100000,2018-09-17,15:00:19,55.3701112,37.5358323,Московская область,3,1,5,3,63.0,6.0,1,64053
24680000,2018-09-17,11:04:29,55.7940695,37.6115102,Москва,2,7,14,3,86.2,24.1,11,62422
5406780,2018-09-17,10:46:38,55.653782,37.267041,Московская область,2,9,15,2,58.2,20.0,11,62293
2800000,2018-09-17,13:21:35,55.3598137,37.49134,Московская область,1,3,5,2,31.0,6.0,1,63265
5500000,2018-09-17,17:58:01,55.4171556,37.4885589,Московская область,2,17,19,2,65.0,11.0,1,65996
11850000,2018-09-17,14:22:59,55.7526023,37.8764404,Московская область,2,9,25,2,87.0,17.0,1,63668
5800000,2018-09-17,11:30:03,55.7278614,37.3349882,Московская область,2,3,5,1,38.4,11.0,1,62618
5520240,2018-09-17,09:42:23,55.8868385,37.1805129,Московская область,2,21,33,1,40.8,11.1,11,61674
13500000,2018-09-17,16:40:19,55.6408572,37.5287032,Москва,1,9,17,3,73.0,10.0,1,65356
3650000,2018-09-17,20:28:22,56.372234,37.532913,Московская область,3,3,15,1,59.1,14.0,11,66604
5700000,2018-09-18,09:47:18,55.6760765,37.5323957,Москва,1,2,9,1,31.0,6.0,1,84454
8678750,2018-09-18,17:37:12,55.7221893,37.7805091,Москва,2,7,17,3,65.5,12.1,11,87765
19000000,2018-09-18,12:29:33,55.83639,37.66556,Москва,3,8,18,2,78.1,13.0,1,85820
2595867,2018-09-18,08:02:47,55.8191262,37.9712104,Московская область,2,11,17,1,32.2,9.4,11,83631
5023027,2018-09-18,08:55:31,55.888657,37.4303702,Московская область,2,6,12,3,78.8,10.3,11,83978
3450000,2018-09-18,04:25:52,55.864807,38.439568,Московская область,1,9,9,3,72.0,9.0,1,79354
1650000,2018-09-18,11:32:06,55.880676,38.473953,Московская область,3,1,3,1,34.0,10.5,1,85442
3700000,2018-09-18,22:39:11,56.0951486,37.5034325,Московская область,1,5,5,3,70.4,7.7,1,88933
9564880,2018-09-18,18:33:16,55.7909684,37.4753952,Москва,2,3,24,1,44.5,11.1,11,88228
12900000,2018-09-18,22:12:32,55.7841804,37.4684618,Москва,1,16,22,2,53.0,7.5,1,88895
13700000,2018-09-19,16:37:06,55.8641159,37.5059862,Москва,1,10,14,3,80.0,13.0,1,95644
6200000,2018-09-19,14:29:37,55.9135295,37.8849915,Московская область,3,3,6,1,42.0,12.0,1,94595
8500000,2018-09-19,17:47:56,55.5437972,37.5196198,Москва,1,6,12,2,54.0,11.0,1,96125
3500000,2018-09-19,00:39:23,55.984245,37.131626,Московская область,3,12,17,1,39.0,9.0,1,89070
3500000,2018-09-19,16:42:32,55.8080694,37.9789623,Московская область,1,4,12,2,40.0,6.2,1,95683
4150000,2018-09-19,20:35:48,55.942954,37.8666039,Московская область,3,3,5,2,46.0,6.0,1,96803
3285000,2018-09-19,18:46:06,55.8365279,37.2673754,Московская область,2,19,24,1,37.0,10.0,1,96479
7500000,2018-09-19,12:49:46,55.720023,37.823951,Москва,1,9,12,2,50.0,7.0,1,93400
8600000,2018-09-19,05:18:20,55.8923456,37.5974088,Москва,1,6,12,3,65.0,7.0,1,89433
6799999,2018-09-19,14:18:20,55.8967052,37.4606642,Московская область,2,15,24,2,52.0,12.0,1,94520
5650000,2018-09-20,23:46:01,55.635929,37.32694,Москва,1,8,17,1,38.0,8.0,1,107055
3540160,2018-09-20,18:29:34,55.790699,37.8811793,Московская область,5,11,17,1,36.8,10.0,1,106045
2750000,2018-09-20,19:13:50,55.623503,38.002213,Московская область,3,4,5,1,30.0,6.0,1,106262
1700000,2018-09-20,10:49:33,56.396423,38.295486,Московская область,3,1,3,2,42.0,5.5,1,102297
3099000,2018-09-20,09:46:41,55.320278,38.6667483,Московская область,3,4,9,2,52.0,9.0,1,101748
2400000,2018-09-20,18:06:57,55.3394606,38.7276082,Московская область,3,1,5,3,73.7,5.7,1,105974
4550000,2018-09-20,23:28:04,55.4713667,37.2922659,Москва,1,7,16,1,36.0,9.0,1,107031
5243200,2018-09-20,10:37:25,55.625471,37.342814,Москва,2,2,11,1,45.2,14.4,11,102182
3650000,2018-09-20,12:33:52,55.926666,37.99861,Московская область,1,8,9,3,52.0,6.0,1,103202
2650000,2018-09-20,07:51:06,55.813072,38.958633,Московская область,1,3,5,3,57.0,6.0,1,100766
3250000,2018-09-20,14:54:05,55.3071519,38.7027953,Московская область,3,5,9,2,67.5,12.9,11,104531
4500000,2018-09-21,16:57:21,55.580578,38.202267,Московская область,1,5,10,3,62.0,7.5,1,113143
3300000,2018-09-21,21:54:36,54.8787022,37.2303858,Московская область,3,1,9,2,51.2,7.2,1,114074
6295300,2018-09-21,09:51:00,55.8760589,37.3882166,Московская область,1,15,25,2,64.9,22.1,11,109890
11420780,2018-09-21,16:19:31,55.7224825,37.7733192,Москва,2,7,17,3,84.1,22.9,11,112817
14587290,2018-09-21,16:31:59,55.850909,37.617527,Москва,2,20,20,2,70.47,19.35,11,112927
6200040,2018-09-21,08:47:47,55.91654,37.710144,Московская область,1,7,14,3,73.2,12.4,11,109362
3950000,2018-09-21,16:47:55,55.6083362,38.0825371,Московская область,1,8,9,2,43.0,7.0,1,113085
6971760,2018-09-21,15:39:04,55.850909,37.617527,Москва,2,20,20,1,37.89,12.21,11,112411
1300000,2018-09-21,09:39:22,55.4990165,36.0582351,Московская область,3,3,5,2,44.0,6.0,1,109798
4750000,2018-09-21,10:44:35,55.445988,37.550827,Московская область,3,7,14,2,53.0,8.5,1,110256
3800000,2018-09-21,15:48:53,55.45208,37.540543,Московская область,2,8,12,2,72.0,19.0,11,112487
2100000,2018-09-21,18:10:53,55.8357167,38.2624992,Московская область,1,2,5,1,33.2,7.7,1,113457
3400000,2018-09-21,18:06:11,55.5933655,38.2055499,Московская область,2,1,17,1,46.0,16.0,1,113441
3420000,2018-09-21,12:21:05,56.176489,37.002864,Московская область,1,2,12,1,47.0,12.0,1,110924
7832300,2018-09-21,09:45:11,55.91512,37.709488,Московская область,2,16,24,3,93.8,27.0,11,109839
12000000,2018-09-21,12:19:29,55.6611024,37.6474905,Москва,1,15,16,2,54.2,9.2,1,110914
3342910,2018-09-21,19:24:42,55.8977665,37.6661331,Московская область,5,5,16,1,35.3,11.1,1,113691
8300000,2018-09-22,11:58:03,55.7737129,37.8491291,Московская область,2,2,25,3,115.0,14.0,1,116889
4900000,2018-09-22,20:11:27,55.6699255,37.9519379,Московская область,3,13,14,2,45.0,9.0,1,118543
2300000,2018-09-22,13:34:51,56.0359538,35.5161518,Московская область,3,1,3,2,43.0,6.0,1,117267
3298608,2018-09-22,10:28:11,55.7435797,38.032707,Московская область,2,5,10,1,34.9,10.0,1,116463
5158000,2018-09-22,21:36:16,55.604692,37.661105,Москва,2,15,15,2,48.3,13.0,1,118726
2800000,2018-09-22,13:17:39,54.8855821,38.0907169,Московская область,1,5,5,2,43.3,7.0,1,117197
24000000,2018-09-22,13:13:56,55.770775,37.376626,Москва,2,3,24,4,170.0,20.0,1,117184
1800000,2018-09-22,12:49:54,55.969365,37.9144127,Московская область,3,6,15,1,46.0,11.0,1,117081
6700000,2018-09-22,08:21:22,55.831423,37.448393,Москва,3,2,9,2,39.0,8.0,1,115946
4869480,2018-09-22,10:57:26,55.700172,37.88084,Московская область,1,14,14,2,52.7,19.6,11,116592
6300000,2018-09-22,15:59:18,55.997552,37.212504,Москва,1,4,9,3,59.0,8.0,1,117844
2550000,2018-09-23,17:22:02,56.328304,36.711226,Московская область,3,4,12,1,56.0,12.0,1,122487
5500000,2018-09-23,12:03:12,55.624174,37.311229,Москва,1,6,19,1,38.0,8.0,1,121229
3850000,2018-09-23,10:13:29,55.102814,38.7531002,Московская область,3,6,10,2,56.0,8.4,1,120803
3600000,2018-09-23,19:05:53,55.5933655,38.2055499,Московская область,2,10,16,1,44.0,10.0,1,122814
3300000,2018-09-23,08:38:32,55.921085,37.834946,Московская область,1,5,9,1,32.0,7.0,1,120497
3500000,2018-09-23,13:50:31,55.9847794,37.0993877,Московская область,1,15,17,1,39.0,8.0,1,121577
6700000,2018-09-23,16:40:13,55.46836,37.553074,Московская область,1,13,17,2,85.4,12.3,1,122310
2400000,2018-09-23,13:26:55,54.9046193,37.358972,Московская область,3,5,5,3,51.0,6.0,1,121488
3000000,2018-09-23,18:10:18,55.943069,36.898067,Московская область,3,2,4,1,42.0,11.0,1,122646
6305600,2018-09-23,16:29:42,55.6221055,37.4277674,Москва,1,2,25,2,56.3,21.1,11,122251
4900000,2018-09-23,08:38:52,55.91101,37.865543,Московская область,1,5,12,2,52.2,8.5,1,120527
3800000,2018-09-23,20:03:28,55.60709,38.0976122,Московская область,1,4,5,1,30.1,6.0,1,122973
3200000,2018-09-23,08:38:33,55.9750406,37.9431691,Московская область,3,3,19,1,33.8,10.0,1,120498
2350000,2018-09-23,19:35:45,55.3640236,37.5075712,Московская область,2,16,22,1,37.8,9.3,11,122897
3700000,2018-09-23,18:13:50,56.3289192,38.1272228,Московская область,3,4,5,3,62.0,8.0,1,122675
11200000,2018-09-23,17:42:36,55.5933899,38.2044106,Московская область,2,15,17,3,103.0,11.0,1,122578
6216900,2018-09-24,18:59:18,55.5623247,37.4698413,Москва,2,9,18,2,53.0,19.0,11,131173
4200000,2018-09-24,17:16:07,55.7965106,37.9737092,Московская область,1,8,9,2,50.0,9.0,1,130712
1800000,2018-09-24,10:44:32,56.1156187,38.4162665,Московская область,1,1,5,1,32.8,8.0,1,127624
3950000,2018-09-24,08:59:03,55.4284871,36.8704913,Москва,1,4,5,2,44.0,7.0,1,126763
3300000,2018-09-24,07:59:02,56.3848209,38.1011573,Московская область,1,2,3,2,48.6,10.0,1,126351
2300000,2018-09-24,12:44:58,54.888434,38.072318,Московская область,3,4,5,1,30.5,5.7,1,128457
3652960,2018-09-24,18:59:00,55.5623247,37.4698413,Москва,2,16,18,1,27.2,6.9,11,131109
18500000,2018-09-24,10:51:28,55.7921743,37.7870669,Москва,2,16,28,2,78.0,15.0,1,127688
2521750,2018-09-24,15:32:56,55.950453,37.828901,Московская область,2,17,25,1,38.5,10.8,11,129818
14691000,2018-09-24,16:05:13,55.794406,37.566198,Москва,2,3,7,1,49.8,13.2,11,130074
7837720,2018-09-24,10:14:36,55.67238,37.855156,Московская область,2,27,30,3,75.8,11.1,11,127373
4100000,2018-09-24,18:34:29,55.517439,37.356558,Москва,2,6,11,1,33.0,6.0,11,130961
4322780,2018-09-24,19:34:38,55.9139498,37.7077118,Московская область,1,13,25,1,40.1,17.7,11,131300
7200000,2018-09-24,20:01:00,55.6184986,37.6463021,Москва,1,4,9,3,58.0,6.0,1,131390
1750000,2018-09-25,15:10:33,55.7994719,39.0032512,Московская область,3,3,5,2,42.0,6.0,1,137496
2750000,2018-09-25,16:41:03,55.953441,38.0579952,Московская область,3,1,9,1,37.5,8.0,1,138243
4543100,2018-09-25,07:34:00,55.5623247,37.4698413,Москва,2,6,17,1,36.2,17.6,11,133109
6122940,2018-09-25,09:39:24,55.654396,37.867538,Московская область,1,14,25,3,78.6,22.5,11,134232
1650000,2018-09-25,08:47:32,55.7845065,38.6719215,Московская область,3,2,4,1,34.0,7.0,1,133757
3570000,2018-09-25,08:51:59,55.9690376,37.9633663,Московская область,3,2,5,3,60.0,10.0,1,133784
4450000,2018-09-25,13:44:22,55.65945,37.214397,Московская область,3,17,17,1,42.0,10.0,1,136908
10500000,2018-09-25,03:43:53,55.5672642,37.4432994,Москва,2,8,8,2,62.1,15.0,1,132514
4153000,2018-09-25,08:38:12,55.836827,37.282348,Московская область,2,17,25,2,47.0,8.8,11,133682
5600000,2018-09-25,15:49:02,55.557118,37.068666,Московская область,2,7,10,2,60.3,10.3,1,137807
2150000,2018-09-25,23:16:47,55.8056144,38.0811967,Московская область,2,14,17,1,32.0,7.0,1,139567
8200000,2018-09-25,12:46:33,55.91019,37.537892,Москва,1,11,11,2,51.1,8.2,1,136571
3100000,2018-09-25,11:22:03,54.9026156,37.3735107,Московская область,2,12,12,1,50.0,14.0,1,135997
3750000,2018-09-26,15:52:37,55.4462332,37.3290053,Москва,3,2,4,1,38.0,8.0,1,146004
3250000,2018-09-26,17:34:03,55.6621627,37.9013859,Московская область,1,1,9,2,44.0,6.0,1,146611
3500000,2018-09-26,10:40:40,55.802629,38.429739,Московская область,1,1,10,3,66.0,8.0,1,142793
4050000,2018-09-26,17:33:49,55.7426676,37.9597149,Московская область,1,14,17,2,64.0,13.0,1,146608
3609100,2018-09-26,16:18:18,55.537043,37.4582135,Москва,2,10,17,1,39.0,10.0,11,146117
14700000,2018-09-26,18:27:25,55.686609,37.548878,Москва,5,3,17,2,56.6,9.0,1,146865
9500000,2018-09-26,09:30:45,55.7664,37.714222,Москва,1,9,9,3,62.0,9.0,1,142288
6450000,2018-09-26,14:12:04,55.850636,37.686142,Москва,1,3,9,2,44.2,6.0,1,144981
6690120,2018-09-26,15:37:03,55.668214,37.739177,Москва,1,9,25,2,59.1,22.3,11,145890
2200000,2018-09-27,18:19:45,55.95315,38.063137,Московская область,1,3,9,1,32.3,7.5,1,156194
5000000,2018-09-27,07:55:37,55.6563755,37.2333599,Московская область,2,5,17,1,44.3,10.8,1,150171
12856800,2018-09-27,18:16:13,55.7021328,37.6391984,Москва,2,2,16,3,73.1,10.0,11,156169
6150000,2018-09-27,12:07:25,55.5851972,38.1375531,Московская область,2,12,17,3,89.0,12.0,11,152297
5350000,2018-09-27,19:21:46,55.893995,37.71018,Московская область,2,6,11,1,44.0,10.0,1,156615
3799999,2018-09-27,18:47:33,55.450363,37.541054,Московская область,1,13,17,2,56.2,9.0,11,156451
4300000,2018-09-27,17:31:25,55.4764566,37.2962944,Москва,1,16,16,1,43.0,10.0,1,155891
8800000,2018-09-27,16:28:10,55.8012337,37.5454075,Москва,3,1,5,1,44.2,9.0,1,155317
12000000,2018-09-27,15:58:22,55.639451,37.519593,Москва,1,4,9,3,61.0,7.0,1,154988
3700000,2018-09-27,14:34:42,55.450918,37.7351476,Московская область,3,10,17,1,42.0,10.0,1,154316
2650000,2018-09-27,19:09:12,55.7450131,38.0057086,Московская область,3,4,5,1,30.0,6.0,1,156579
4500000,2018-09-27,18:43:44,56.178142,37.003475,Московская область,1,6,9,3,59.0,7.0,1,156434
